subject,nAlts,targetAlt,alt1,alt2,alt3,alt4,alt5,alt6,alt7,alt8,response,rt,accuracy,respDeviation
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.3986,0.87074,1,0.0067795
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.89197,0.61852,1,0.01118
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.38036,0.69581,1,0.025013
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.38153,0.68103,1,0.023844
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.38964,1.3593,0,0.48649
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.90221,0.87743,1,0.0009404
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.38297,0.95212,1,0.022401
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.40196,0.6468,1,0.0034128
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.38287,0.80965,1,0.0225
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.38251,0.99908,1,0.022864
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.39362,0.81319,0,0.49047
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.89349,0.66397,1,0.0096535
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.39053,0.6767,1,0.014848
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.3889,0.70484,1,0.016475
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.40272,0.69297,1,0.0026548
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.8947,0.92437,1,0.0084427
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.40793,0.68453,1,0.0025551
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.89141,0.63709,1,0.011738
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.3891,0.56451,1,0.016279
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.89154,0.78195,1,0.011602
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.37282,1.074,0,0.03255
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.89893,0.74751,1,0.0042157
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.89522,0.90831,1,0.007923
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.40365,0.701,1,0.001721
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.88665,0.59985,1,0.016498
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.39474,0.55714,1,0.010634
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.88097,0.6454,1,0.022176
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.90106,0.89074,1,0.0020865
1,2,0.40537,0.90315,0.40537,0,0,0,0,0,0,0.39154,1.0241,1,0.013831
1,2,0.90315,0.90315,0.40537,0,0,0,0,0,0,0.88791,0.72555,1,0.015238
1,0,0.58492,0,0,0,0,0,0,0,0,0.71169,1.5224,0,0.12676
1,0,0.44779,0,0,0,0,0,0,0,0,0.37993,1.8665,0,0.067859
1,0,0.88125,0,0,0,0,0,0,0,0,0.83587,1.2673,0,0.045378
1,0,0.98588,0,0,0,0,0,0,0,0,0.98834,1.3249,1,0.0024587
1,0,0.97613,0,0,0,0,0,0,0,0,0.0013191,1.1294,0,0.025192
1,0,0.972,0,0,0,0,0,0,0,0,0.97156,1.3218,1,0.00043389
1,0,0.0080399,0,0,0,0,0,0,0,0,0.96671,1.2085,0,0.041333
1,0,0.45064,0,0,0,0,0,0,0,0,0.42384,2.8112,1,0.026807
1,0,0.39499,0,0,0,0,0,0,0,0,0.22854,2.4027,0,0.16645
1,0,0.90406,0,0,0,0,0,0,0,0,0.90213,1.5769,1,0.0019272
1,0,0.83084,0,0,0,0,0,0,0,0,0.84882,1.3042,1,0.017978
1,0,0.06375,0,0,0,0,0,0,0,0,0.031482,1.657,0,0.032267
1,0,0.31669,0,0,0,0,0,0,0,0,0.34006,2.3611,1,0.023369
1,0,0.26977,0,0,0,0,0,0,0,0,0.28306,1.9679,1,0.013296
1,0,0.0053378,0,0,0,0,0,0,0,0,0.97942,1.234,0,0.025922
1,0,0.26977,0,0,0,0,0,0,0,0,0.23335,2.2501,0,0.036418
1,0,0.1978,0,0,0,0,0,0,0,0,0.38114,2.6742,0,0.18333
1,0,0.46211,0,0,0,0,0,0,0,0,0.70724,3.177,0,0.24513
1,0,0.44482,0,0,0,0,0,0,0,0,0.0058095,1.6805,0,0.43901
1,0,0.76155,0,0,0,0,0,0,0,0,0.75706,3.0258,1,0.0044918
1,0,0.92976,0,0,0,0,0,0,0,0,0.93943,2.486,1,0.0096732
1,0,0.26977,0,0,0,0,0,0,0,0,0.25605,2.2962,1,0.013716
1,0,0.47008,0,0,0,0,0,0,0,0,0.45244,1.7464,1,0.017644
1,0,0.020434,0,0,0,0,0,0,0,0,0.69802,2.2018,0,0.32242
1,0,0.39499,0,0,0,0,0,0,0,0,0.25754,1.808,0,0.13744
