Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,0,0,45,3,819,-999,2.1913,1.9217,-0.26955,0.26955,1.2595,117
100,0,0,30,2,819,-999,1.6196,1.7845,0.16484,0.16484,0.86939,135
100,0,0,15,1,819,-999,0.41954,0.26625,-0.15329,0.15329,0.8009,138
100,0,0,30,2,819,-999,2.0777,2.157,0.079275,0.079275,1.0019,155
100,0,0,15,1,819,-999,1.7241,1.7277,0.0036187,0.0036187,2.364,190
100,0,0,45,3,819,-999,1.4892,0.86073,-0.62848,0.62848,1.0521,73
100,0,0,30,2,819,-999,0.28734,0.48722,0.19988,0.19988,1.053,129
100,0,0,30,2,819,-999,0.3365,1.2212,0.88469,0.88469,2.3029,50
100,0,0,30,2,819,-999,2.9174,2.8546,-0.062807,0.062807,0.88762,160
100,0,0,45,3,819,-999,2.3462,2.0197,-0.32651,0.32651,0.94328,109
100,0,0,45,3,819,-999,0.59236,1.3195,0.72711,0.72711,1.2994,64
100,0,0,15,1,819,-999,2.8237,2.8887,0.064997,0.064997,0.83046,159
100,0,0,15,1,819,-999,2.2538,2.1606,-0.093198,0.093198,0.76012,151
100,0,0,15,1,819,-999,0.55101,0.27785,-0.27316,0.27316,0.92477,117
100,0,0,15,1,819,-999,2.2951,2.3449,0.049746,0.049746,1.0294,164
100,0,0,15,1,819,-999,2.2642,2.3584,0.094181,0.094181,0.96602,151
100,0,0,30,2,819,-999,2.7887,2.5732,-0.21549,0.21549,1.091,126
100,0,0,15,1,819,-999,2.3719,2.3603,-0.011638,0.011638,0.72233,183
100,0,0,45,3,819,-999,2.3785,2.4261,0.047528,0.047528,0.89741,165
100,0,0,30,2,819,-999,0.7531,0.88421,0.13111,0.13111,0.80081,142
100,0,0,15,1,819,-999,2.6462,2.7648,0.11865,0.11865,0.69319,145
100,0,0,45,3,819,-999,0.41158,2.9062,-0.64701,0.64701,0.88181,72
100,0,0,45,3,819,-999,0.59656,1.1797,0.58311,0.58311,0.92763,78
100,0,0,15,1,819,-999,0.43176,0.31549,-0.11628,0.11628,0.84309,146
100,0,0,30,2,819,-999,1.5092,1.6249,0.11568,0.11568,1.1492,146
100,0,0,30,2,819,-999,2.0303,1.8504,-0.17985,0.17985,1.1168,132
100,0,0,45,3,819,-999,1.5908,1.8526,0.26182,0.26182,1.4275,118
100,0,0,30,2,819,-999,1.1924,0.99537,-0.19704,0.19704,1.0922,129
100,0,0,45,3,819,-999,2.8077,2.0839,-0.72385,0.72385,1.1208,64
100,0,0,45,3,819,-999,2.4539,2.0232,-0.43072,0.43072,1.7964,95
100,0,1,30,2,0,0.32001,0.32001,0.23878,-0.081237,0.081237,0.57972,155
100,0,1,45,3,0,0.17254,0.17254,0.2434,0.070856,0.070856,0.54961,158
100,0,1,45,3,-50,0.78806,3.057,0.88804,0.97264,0.97264,0.63412,43
100,0,1,30,2,0,1.1792,1.1792,1.3056,0.12643,0.12643,0.60074,143
100,0,1,45,3,-70,0.59785,2.5177,2.6849,0.16723,0.16723,0.72749,135
100,0,1,45,3,20,2.2043,1.8553,2.1476,0.2923,0.2923,0.56905,114
100,0,1,15,1,0,2.5614,2.5614,2.4768,-0.084664,0.084664,0.5455,154
100,0,1,30,2,0,1.5593,1.5593,1.7375,0.17818,0.17818,0.80297,133
100,0,1,30,2,70,2.5049,1.2832,2.4081,1.1249,1.1249,0.60388,31
100,0,1,15,1,20,2.3617,2.0126,1.7988,-0.21382,0.21382,0.86703,126
100,0,1,45,3,0,2.9639,2.9639,2.8198,-0.14408,0.14408,0.55865,139
100,0,1,30,2,20,0.59433,0.24526,0.43643,0.19117,0.19117,0.57509,130
100,0,1,30,2,0,1.2405,1.2405,1.1688,-0.071716,0.071716,0.64984,157
100,0,1,45,3,0,2.7148,2.7148,2.8687,0.15395,0.15395,0.547,137
100,0,1,15,1,0,2.7531,2.7531,2.675,-0.078048,0.078048,0.65287,155
100,0,1,30,2,-70,0.60005,2.5199,2.5654,0.045442,0.045442,0.9646,166
100,0,1,15,1,0,1.546,1.546,1.7113,0.16526,0.16526,0.67706,135
100,0,1,15,1,-50,0.72281,2.9917,3.1116,0.11987,0.11987,0.79184,145
100,0,1,15,1,0,0.40189,0.40189,0.53395,0.13206,0.13206,0.70055,142
100,0,1,30,2,0,1.8534,1.8534,2.0007,0.14725,0.14725,0.5859,139
100,0,1,45,3,0,3.0856,3.0856,3.0452,-0.040408,0.040408,0.72471,168
100,0,1,15,1,70,2.7593,1.5376,2.0456,0.50804,0.50804,1.1203,86
100,0,1,15,1,0,0.58994,0.58994,0.53879,-0.051154,0.051154,0.71577,164
100,0,1,45,3,0,0.40106,0.40106,0.35413,-0.046931,0.046931,0.81456,165
100,1,1,30,2,20,1.5485,1.1994,1.9911,0.79172,0.79172,0.71842,129
100,1,1,45,3,0,1.7054,1.7054,1.7799,0.074501,0.074501,0.38211,178
100,1,1,45,3,20,0.6525,0.30343,0.11987,-0.18356,0.18356,1.0754,66
100,1,1,15,1,0,2.936,2.936,2.9531,0.017057,0.017057,0.50497,190
100,1,1,15,1,70,2.8759,1.6542,2.1481,0.49394,0.49394,0.61904,144
